Year,County,Ethnicity,Race,Gender,Age Group,Count
2010,Adams,Non-Hispanic,White,Male,<1,1
2010,Adams,Non-Hispanic,White,Male,1--17,1
2010,Adams,Non-Hispanic,White,Male,18--24,2
2010,Adams,Non-Hispanic,White,Male,25--44,10
2010,Adams,Non-Hispanic,White,Male,45--64,75
2010,Adams,Non-Hispanic,White,Male,65--84,167
2010,Adams,Non-Hispanic,White,Male,85+,133
2010,Adams,Non-Hispanic,White,Female,<1,1
2010,Adams,Non-Hispanic,White,Female,1--17,1
2010,Adams,Non-Hispanic,White,Female,18--24,0
2010,Adams,Non-Hispanic,White,Female,25--44,2
2010,Adams,Non-Hispanic,White,Female,45--64,40
2010,Adams,Non-Hispanic,White,Female,65--84,122
2010,Adams,Non-Hispanic,White,Female,85+,147
2010,Adams,Non-Hispanic,Black,Male,<1,0
2010,Adams,Non-Hispanic,Black,Male,1--17,0
2010,Adams,Non-Hispanic,Black,Male,18--24,0
2010,Adams,Non-Hispanic,Black,Male,25--44,1
2010,Adams,Non-Hispanic,Black,Male,45--64,3
2010,Adams,Non-Hispanic,Black,Male,65--84,3
2010,Adams,Non-Hispanic,Black,Male,85+,4
2010,Adams,Non-Hispanic,Black,Female,<1,0
2010,Adams,Non-Hispanic,Black,Female,1--17,0
2010,Adams,Non-Hispanic,Black,Female,18--24,0
2010,Adams,Non-Hispanic,Black,Female,25--44,1
2010,Adams,Non-Hispanic,Black,Female,45--64,1
2010,Adams,Non-Hispanic,Black,Female,65--84,5
2010,Adams,Non-Hispanic,Black,Female,85+,0
2010,Adams,Non-Hispanic,Other,Male,<1,0
2010,Adams,Non-Hispanic,Other,Male,1--17,0
2010,Adams,Non-Hispanic,Other,Male,18--24,0
2010,Adams,Non-Hispanic,Other,Male,25--44,0
2010,Adams,Non-Hispanic,Other,Male,45--64,1
2010,Adams,Non-Hispanic,Other,Male,65--84,0
2010,Adams,Non-Hispanic,Other,Male,85+,0
2010,Adams,Non-Hispanic,Other,Female,<1,0
2010,Adams,Non-Hispanic,Other,Female,1--17,0
2010,Adams,Non-Hispanic,Other,Female,18--24,0
2010,Adams,Non-Hispanic,Other,Female,25--44,0
2010,Adams,Non-Hispanic,Other,Female,45--64,0
2010,Adams,Non-Hispanic,Other,Female,65--84,0
2010,Adams,Non-Hispanic,Other,Female,85+,0
2010,Adams,Hispanic,White,Male,<1,0
2010,Adams,Hispanic,White,Male,1--17,0
2010,Adams,Hispanic,White,Male,18--24,0
2010,Adams,Hispanic,White,Male,25--44,0
2010,Adams,Hispanic,White,Male,45--64,0
2010,Adams,Hispanic,White,Male,65--84,0
2010,Adams,Hispanic,White,Male,85+,0
2010,Adams,Hispanic,White,Female,<1,0
2010,Adams,Hispanic,White,Female,1--17,0
2010,Adams,Hispanic,White,Female,18--24,0
2010,Adams,Hispanic,White,Female,25--44,0
2010,Adams,Hispanic,White,Female,45--64,0
2010,Adams,Hispanic,White,Female,65--84,0
2010,Adams,Hispanic,White,Female,85+,0
2010,Adams,Hispanic,Black,Male,<1,0
2010,Adams,Hispanic,Black,Male,1--17,0
2010,Adams,Hispanic,Black,Male,18--24,0
2010,Adams,Hispanic,Black,Male,25--44,0
2010,Adams,Hispanic,Black,Male,45--64,0
2010,Adams,Hispanic,Black,Male,65--84,0
2010,Adams,Hispanic,Black,Male,85+,0
2010,Adams,Hispanic,Black,Female,<1,0
2010,Adams,Hispanic,Black,Female,1--17,0
2010,Adams,Hispanic,Black,Female,18--24,0
2010,Adams,Hispanic,Black,Female,25--44,0
2010,Adams,Hispanic,Black,Female,45--64,0
2010,Adams,Hispanic,Black,Female,65--84,0
2010,Adams,Hispanic,Black,Female,85+,0
2010,Adams,Hispanic,Other,Male,<1,0
2010,Adams,Hispanic,Other,Male,1--17,0
2010,Adams,Hispanic,Other,Male,18--24,0
2010,Adams,Hispanic,Other,Male,25--44,0
2010,Adams,Hispanic,Other,Male,45--64,0
2010,Adams,Hispanic,Other,Male,65--84,0
2010,Adams,Hispanic,Other,Male,85+,0
2010,Adams,Hispanic,Other,Female,<1,0
2010,Adams,Hispanic,Other,Female,1--17,0
2010,Adams,Hispanic,Other,Female,18--24,0
2010,Adams,Hispanic,Other,Female,25--44,0
2010,Adams,Hispanic,Other,Female,45--64,0
2010,Adams,Hispanic,Other,Female,65--84,0
2010,Adams,Hispanic,Other,Female,85+,0
2010,Alexander,Non-Hispanic,White,Male,<1,0
2010,Alexander,Non-Hispanic,White,Male,1--17,0
2010,Alexander,Non-Hispanic,White,Male,18--24,0
2010,Alexander,Non-Hispanic,White,Male,25--44,0
2010,Alexander,Non-Hispanic,White,Male,45--64,11
2010,Alexander,Non-Hispanic,White,Male,65--84,25
2010,Alexander,Non-Hispanic,White,Male,85+,4
2010,Alexander,Non-Hispanic,White,Female,<1,0
2010,Alexander,Non-Hispanic,White,Female,1--17,0
2010,Alexander,Non-Hispanic,White,Female,18--24,0
2010,Alexander,Non-Hispanic,White,Female,25--44,0
2010,Alexander,Non-Hispanic,White,Female,45--64,6
2010,Alexander,Non-Hispanic,White,Female,65--84,12
2010,Alexander,Non-Hispanic,White,Female,85+,12
2010,Alexander,Non-Hispanic,Black,Male,<1,1
2010,Alexander,Non-Hispanic,Black,Male,1--17,1
2010,Alexander,Non-Hispanic,Black,Male,18--24,0
2010,Alexander,Non-Hispanic,Black,Male,25--44,0
2010,Alexander,Non-Hispanic,Black,Male,45--64,1
2010,Alexander,Non-Hispanic,Black,Male,65--84,5
2010,Alexander,Non-Hispanic,Black,Male,85+,0
2010,Alexander,Non-Hispanic,Black,Female,<1,1
2010,Alexander,Non-Hispanic,Black,Female,1--17,0
2010,Alexander,Non-Hispanic,Black,Female,18--24,1
2010,Alexander,Non-Hispanic,Black,Female,25--44,1
2010,Alexander,Non-Hispanic,Black,Female,45--64,3
2010,Alexander,Non-Hispanic,Black,Female,65--84,4
2010,Alexander,Non-Hispanic,Black,Female,85+,3
2010,Alexander,Non-Hispanic,Other,Male,<1,0
2010,Alexander,Non-Hispanic,Other,Male,1--17,0
2010,Alexander,Non-Hispanic,Other,Male,18--24,0
2010,Alexander,Non-Hispanic,Other,Male,25--44,0
2010,Alexander,Non-Hispanic,Other,Male,45--64,0
2010,Alexander,Non-Hispanic,Other,Male,65--84,0
2010,Alexander,Non-Hispanic,Other,Male,85+,0
2010,Alexander,Non-Hispanic,Other,Female,<1,0
2010,Alexander,Non-Hispanic,Other,Female,1--17,0
2010,Alexander,Non-Hispanic,Other,Female,18--24,0
2010,Alexander,Non-Hispanic,Other,Female,25--44,0
2010,Alexander,Non-Hispanic,Other,Female,45--64,0
2010,Alexander,Non-Hispanic,Other,Female,65--84,0
2010,Alexander,Non-Hispanic,Other,Female,85+,0
2010,Alexander,Hispanic,White,Male,<1,0
2010,Alexander,Hispanic,White,Male,1--17,0
2010,Alexander,Hispanic,White,Male,18--24,0
2010,Alexander,Hispanic,White,Male,25--44,0
2010,Alexander,Hispanic,White,Male,45--64,0
2010,Alexander,Hispanic,White,Male,65--84,0
2010,Alexander,Hispanic,White,Male,85+,0
2010,Alexander,Hispanic,White,Female,<1,0
2010,Alexander,Hispanic,White,Female,1--17,0
2010,Alexander,Hispanic,White,Female,18--24,0
2010,Alexander,Hispanic,White,Female,25--44,0
2010,Alexander,Hispanic,White,Female,45--64,0
2010,Alexander,Hispanic,White,Female,65--84,0
2010,Alexander,Hispanic,White,Female,85+,0
2010,Alexander,Hispanic,Black,Male,<1,0
2010,Alexander,Hispanic,Black,Male,1--17,0
2010,Alexander,Hispanic,Black,Male,18--24,0
2010,Alexander,Hispanic,Black,Male,25--44,0
2010,Alexander,Hispanic,Black,Male,45--64,0
2010,Alexander,Hispanic,Black,Male,65--84,0
2010,Alexander,Hispanic,Black,Male,85+,0
2010,Alexander,Hispanic,Black,Female,<1,0
2010,Alexander,Hispanic,Black,Female,1--17,0
2010,Alexander,Hispanic,Black,Female,18--24,0
2010,Alexander,Hispanic,Black,Female,25--44,0
2010,Alexander,Hispanic,Black,Female,45--64,0
2010,Alexander,Hispanic,Black,Female,65--84,0
2010,Alexander,Hispanic,Black,Female,85+,0
2010,Alexander,Hispanic,Other,Male,<1,0
2010,Alexander,Hispanic,Other,Male,1--17,0
2010,Alexander,Hispanic,Other,Male,18--24,0
2010,Alexander,Hispanic,Other,Male,25--44,0
2010,Alexander,Hispanic,Other,Male,45--64,0
2010,Alexander,Hispanic,Other,Male,65--84,0
2010,Alexander,Hispanic,Other,Male,85+,0
2010,Alexander,Hispanic,Other,Female,<1,0
2010,Alexander,Hispanic,Other,Female,1--17,0
2010,Alexander,Hispanic,Other,Female,18--24,0
2010,Alexander,Hispanic,Other,Female,25--44,0
2010,Alexander,Hispanic,Other,Female,45--64,0
2010,Alexander,Hispanic,Other,Female,65--84,0
2010,Alexander,Hispanic,Other,Female,85+,0
2010,Bond,Non-Hispanic,White,Male,<1,1
2010,Bond,Non-Hispanic,White,Male,1--17,2
2010,Bond,Non-Hispanic,White,Male,18--24,1
2010,Bond,Non-Hispanic,White,Male,25--44,4
2010,Bond,Non-Hispanic,White,Male,45--64,16
2010,Bond,Non-Hispanic,White,Male,65--84,42
2010,Bond,Non-Hispanic,White,Male,85+,17
2010,Bond,Non-Hispanic,White,Female,<1,0
2010,Bond,Non-Hispanic,White,Female,1--17,0
2010,Bond,Non-Hispanic,White,Female,18--24,0
2010,Bond,Non-Hispanic,White,Female,25--44,2
2010,Bond,Non-Hispanic,White,Female,45--64,16
2010,Bond,Non-Hispanic,White,Female,65--84,33
2010,Bond,Non-Hispanic,White,Female,85+,42
2010,Bond,Non-Hispanic,Black,Male,<1,0
2010,Bond,Non-Hispanic,Black,Male,1--17,0
2010,Bond,Non-Hispanic,Black,Male,18--24,0
2010,Bond,Non-Hispanic,Black,Male,25--44,1
2010,Bond,Non-Hispanic,Black,Male,45--64,0
2010,Bond,Non-Hispanic,Black,Male,65--84,1
2010,Bond,Non-Hispanic,Black,Male,85+,0
2010,Bond,Non-Hispanic,Black,Female,<1,0
2010,Bond,Non-Hispanic,Black,Female,1--17,0
2010,Bond,Non-Hispanic,Black,Female,18--24,0
2010,Bond,Non-Hispanic,Black,Female,25--44,1
2010,Bond,Non-Hispanic,Black,Female,45--64,0
2010,Bond,Non-Hispanic,Black,Female,65--84,1
2010,Bond,Non-Hispanic,Black,Female,85+,1
2010,Bond,Non-Hispanic,Other,Male,<1,0
2010,Bond,Non-Hispanic,Other,Male,1--17,0
2010,Bond,Non-Hispanic,Other,Male,18--24,0
2010,Bond,Non-Hispanic,Other,Male,25--44,0
2010,Bond,Non-Hispanic,Other,Male,45--64,0
2010,Bond,Non-Hispanic,Other,Male,65--84,0
2010,Bond,Non-Hispanic,Other,Male,85+,0
2010,Bond,Non-Hispanic,Other,Female,<1,0
2010,Bond,Non-Hispanic,Other,Female,1--17,0
2010,Bond,Non-Hispanic,Other,Female,18--24,0
2010,Bond,Non-Hispanic,Other,Female,25--44,0
2010,Bond,Non-Hispanic,Other,Female,45--64,0
2010,Bond,Non-Hispanic,Other,Female,65--84,0
2010,Bond,Non-Hispanic,Other,Female,85+,0
2010,Bond,Hispanic,White,Male,<1,0
2010,Bond,Hispanic,White,Male,1--17,0
2010,Bond,Hispanic,White,Male,18--24,0
2010,Bond,Hispanic,White,Male,25--44,0
2010,Bond,Hispanic,White,Male,45--64,0
2010,Bond,Hispanic,White,Male,65--84,0
2010,Bond,Hispanic,White,Male,85+,0
2010,Bond,Hispanic,White,Female,<1,0
2010,Bond,Hispanic,White,Female,1--17,0
2010,Bond,Hispanic,White,Female,18--24,0
2010,Bond,Hispanic,White,Female,25--44,0
2010,Bond,Hispanic,White,Female,45--64,0
2010,Bond,Hispanic,White,Female,65--84,0
2010,Bond,Hispanic,White,Female,85+,0
2010,Bond,Hispanic,Black,Male,<1,0
2010,Bond,Hispanic,Black,Male,1--17,0
2010,Bond,Hispanic,Black,Male,18--24,0
2010,Bond,Hispanic,Black,Male,25--44,0
2010,Bond,Hispanic,Black,Male,45--64,0
2010,Bond,Hispanic,Black,Male,65--84,0
2010,Bond,Hispanic,Black,Male,85+,0
2010,Bond,Hispanic,Black,Female,<1,0
2010,Bond,Hispanic,Black,Female,1--17,0
2010,Bond,Hispanic,Black,Female,18--24,0
2010,Bond,Hispanic,Black,Female,25--44,0
2010,Bond,Hispanic,Black,Female,45--64,0
